"","Plant_ID","Genotype","Year","Days","Leaf_Weight","Genotype_P"
"1","1","F","1988",14,0.106,0
"2","1","F","1988",21,0.261,0
"3","1","F","1988",28,0.666,0
"4","1","F","1988",35,2.11,0
"5","1","F","1988",42,3.56,0
"6","1","F","1988",49,6.23,0
"7","1","F","1988",56,8.71,0
"8","1","F","1988",63,13.35,0
"9","1","F","1988",70,16.3417,0
"10","1","F","1988",77,17.75083,0
"11","2","F","1988",14,0.104,0
"12","2","F","1988",21,0.269,0
"13","2","F","1988",28,0.778,0
"14","2","F","1988",35,2.12,0
"15","2","F","1988",42,2.93,0
"16","2","F","1988",49,5.29,0
"17","2","F","1988",56,9.5,0
"18","2","F","1988",70,16.9667,0
"19","2","F","1988",77,17.7467,0
"20","3","F","1988",14,0.108,0
"21","3","F","1988",21,0.291,0
"22","3","F","1988",28,0.667,0
"23","3","F","1988",35,2.05,0
"24","3","F","1988",42,3.81,0
"25","3","F","1988",49,6.13,0
"26","3","F","1988",56,10.28,0
"27","3","F","1988",63,18.08,0
"28","3","F","1988",70,20.1825,0
"29","3","F","1988",77,21.8108,0
"30","4","F","1988",14,0.105,0
"31","4","F","1988",21,0.299,0
"32","4","F","1988",28,0.844,0
"33","4","F","1988",35,1.32,0
"34","4","F","1988",42,2.24,0
"35","4","F","1988",49,4.68,0
"36","4","F","1988",56,8.82,0
"37","4","F","1988",63,15.09,0
"38","4","F","1988",70,14.66,0
"39","4","F","1988",77,14.0046,0
"40","5","F","1988",14,0.101,0
"41","5","F","1988",21,0.273,0
"42","5","F","1988",28,0.848,0
"43","5","F","1988",35,1.95,0
"44","5","F","1988",42,4.77,0
"45","5","F","1988",49,6.01,0
"46","5","F","1988",56,9.91,0
"47","5","F","1988",70,19.2623,0
"48","6","F","1988",14,0.106,0
"49","6","F","1988",21,0.337,0
"50","6","F","1988",28,0.699,0
"51","6","F","1988",35,1.53,0
"52","6","F","1988",42,3.87,0
"53","6","F","1988",49,5.6,0
"54","6","F","1988",56,9.43,0
"55","6","F","1988",63,13.73,0
"56","6","F","1988",70,17.3808,0
"57","6","F","1988",77,19.9323,0
"58","7","F","1988",14,0.102,0
"59","7","F","1988",21,0.275,0
"60","7","F","1988",28,0.767,0
"61","7","F","1988",35,1.45,0
"62","7","F","1988",42,3.95,0
"63","7","F","1988",49,4.94,0
"64","7","F","1988",56,9.64,0
"65","7","F","1988",70,17.88,0
"66","7","F","1988",77,17.7242,0
"67","8","F","1988",14,0.103,0
"68","8","F","1988",21,0.273,0
"69","8","F","1988",28,0.742,0
"70","8","F","1988",35,1.41,0
"71","8","F","1988",42,3.01,0
"72","8","F","1988",49,5.26,0
"73","8","F","1988",56,9.81,0
"74","8","F","1988",63,12.85,0
"75","8","F","1988",70,18.21417,0
"76","8","F","1988",77,19.68,0
"77","17","F","1989",14,0.047,0
"78","17","F","1989",20,0.136,0
"79","17","F","1989",27,0.27283,0
"80","17","F","1989",34,0.98333,0
"81","17","F","1989",41,1.79667,0
"82","17","F","1989",55,4.11714,0
"83","17","F","1989",69,11.03714,0
"84","17","F","1989",84,10.40333,0
"85","18","F","1989",14,0.035,0
"86","18","F","1989",20,0.112,0
"87","18","F","1989",27,0.268,0
"88","18","F","1989",34,1.05333,0
"89","18","F","1989",41,1.715,0
"90","18","F","1989",55,6.72833,0
"91","18","F","1989",69,10.31333,0
"92","18","F","1989",84,11.08833,0
"93","19","F","1989",14,0.044,0
"94","19","F","1989",20,0.146,0
"95","19","F","1989",27,0.3605,0
"96","19","F","1989",34,0.775,0
"97","19","F","1989",41,1.64167,0
"98","19","F","1989",55,3.74833,0
"99","19","F","1989",69,10.875,0
"100","19","F","1989",84,16.0275,0
"101","20","F","1989",14,0.049,0
"102","20","F","1989",20,0.097,0
"103","20","F","1989",27,0.2275,0
"104","20","F","1989",34,0.83333,0
"105","20","F","1989",41,1.354,0
"106","20","F","1989",55,5.98833,0
"107","20","F","1989",69,10.585,0
"108","20","F","1989",84,10.91143,0
"109","21","F","1989",14,0.039,0
"110","21","F","1989",20,0.121,0
"111","21","F","1989",27,0.27167,0
"112","21","F","1989",34,0.65833,0
"113","21","F","1989",41,2.39,0
"114","21","F","1989",55,5.48333,0
"115","21","F","1989",69,9.93667,0
"116","21","F","1989",84,8.88833,0
"117","22","F","1989",14,0.029,0
"118","22","F","1989",20,0.092,0
"119","22","F","1989",27,0.251,0
"120","22","F","1989",34,0.54167,0
"121","22","F","1989",41,1.06167,0
"122","22","F","1989",55,4.83,0
"123","22","F","1989",69,6.27167,0
"124","22","F","1989",84,8.58333,0
"125","23","F","1989",14,0.041,0
"126","23","F","1989",20,0.145,0
"127","23","F","1989",27,0.40533,0
"128","23","F","1989",34,0.76,0
"129","23","F","1989",41,1.49333,0
"130","23","F","1989",55,6.24833,0
"131","23","F","1989",69,11.1117,0
"132","23","F","1989",84,8.88,0
"133","24","F","1989",14,0.038,0
"134","24","F","1989",20,0.127,0
"135","24","F","1989",27,0.34017,0
"136","24","F","1989",34,0.994,0
"137","24","F","1989",41,2.28167,0
"138","24","F","1989",55,8.506,0
"139","24","F","1989",69,8.97333,0
"140","24","F","1989",84,11.632,0
"141","33","F","1990",15,0.10921,0
"142","33","F","1990",23,0.38383,0
"143","33","F","1990",30,1.16167,0
"144","33","F","1990",37,2.34,0
"145","33","F","1990",43,2.87,0
"146","33","F","1990",51,9.53833,0
"147","33","F","1990",64,12.6833,0
"148","33","F","1990",79,18.63333,0
"149","34","F","1990",15,0.095,0
"150","34","F","1990",23,0.33833,0
"151","34","F","1990",30,0.75833,0
"152","34","F","1990",37,2.52,0
"153","34","F","1990",43,2.51833,0
"154","34","F","1990",51,5.11667,0
"155","34","F","1990",64,8.575,0
"156","34","F","1990",79,14.17333,0
"157","35","F","1990",15,0.088,0
"158","35","F","1990",23,0.61317,0
"159","35","F","1990",30,1.315,0
"160","35","F","1990",37,3.02167,0
"161","35","F","1990",43,5.85,0
"162","35","F","1990",51,7.41667,0
"163","35","F","1990",64,11.3317,0
"164","35","F","1990",79,16.88333,0
"165","36","F","1990",15,0.08872,0
"166","36","F","1990",23,0.59667,0
"167","36","F","1990",30,1.075,0
"168","36","F","1990",37,3.075,0
"169","36","F","1990",43,3.95833,0
"170","36","F","1990",51,6.03333,0
"171","36","F","1990",64,10.43667,0
"172","36","F","1990",79,17.8033,0
"173","37","F","1990",15,0.1013,0
"174","37","F","1990",23,0.37533,0
"175","37","F","1990",30,1.92167,0
"176","37","F","1990",37,2.20667,0
"177","37","F","1990",43,4.765,0
"178","37","F","1990",51,9.14,0
"179","37","F","1990",64,15.84,0
"180","37","F","1990",79,18.1083,0
"181","38","F","1990",15,0.10977,0
"182","38","F","1990",23,0.48333,0
"183","38","F","1990",30,1.30667,0
"184","38","F","1990",37,3.955,0
"185","38","F","1990",43,4.305,0
"186","38","F","1990",51,8.03167,0
"187","38","F","1990",64,16.08333,0
"188","38","F","1990",79,19.5733,0
"189","39","F","1990",15,0.10294,0
"190","39","F","1990",23,0.4145,0
"191","39","F","1990",30,1.66333,0
"192","39","F","1990",37,1.39,0
"193","39","F","1990",43,3.00167,0
"194","39","F","1990",51,6.845,0
"195","39","F","1990",64,16.21,0
"196","39","F","1990",79,19.0733,0
"197","40","F","1990",15,0.0767,0
"198","40","F","1990",23,0.37183,0
"199","40","F","1990",30,0.745,0
"200","40","F","1990",37,2.24667,0
"201","40","F","1990",43,4.495,0
"202","40","F","1990",51,5.675,0
"203","40","F","1990",64,16.145,0
"204","40","F","1990",79,18.9317,0
"205","9","P","1988",14,0.131,1
"206","9","P","1988",21,0.338,1
"207","9","P","1988",28,0.701,1
"208","9","P","1988",35,1.66,1
"209","9","P","1988",42,4.25,1
"210","9","P","1988",49,9.24,1
"211","9","P","1988",56,12.15,1
"212","9","P","1988",63,16.78,1
"213","9","P","1988",70,15.925,1
"214","9","P","1988",77,17.2723,1
"215","10","P","1988",14,0.128,1
"216","10","P","1988",21,0.404,1
"217","10","P","1988",28,0.897,1
"218","10","P","1988",35,1.78,1
"219","10","P","1988",42,3.91,1
"220","10","P","1988",49,7.4,1
"221","10","P","1988",56,10.07,1
"222","10","P","1988",63,18.86,1
"223","10","P","1988",70,17.0117,1
"224","10","P","1988",77,27.37,1
"225","11","P","1988",14,0.131,1
"226","11","P","1988",21,0.379,1
"227","11","P","1988",28,1.126,1
"228","11","P","1988",35,2.44,1
"229","11","P","1988",42,3.89,1
"230","11","P","1988",49,6.91,1
"231","11","P","1988",56,12.49,1
"232","11","P","1988",63,15.67,1
"233","11","P","1988",70,23.7633,1
"234","11","P","1988",77,21.4908,1
"235","12","P","1988",14,0.154,1
"236","12","P","1988",21,0.357,1
"237","12","P","1988",28,1.181,1
"238","12","P","1988",35,1.83,1
"239","12","P","1988",42,4.71,1
"240","12","P","1988",49,10.71,1
"241","12","P","1988",56,9.91,1
"242","12","P","1988",63,15.51,1
"243","12","P","1988",70,14.9579,1
"244","12","P","1988",77,21.8,1
"245","13","P","1988",14,0.139,1
"246","13","P","1988",21,0.328,1
"247","13","P","1988",28,0.932,1
"248","13","P","1988",35,1.99,1
"249","13","P","1988",42,3.46,1
"250","13","P","1988",49,7.02,1
"251","13","P","1988",56,11.79,1
"252","13","P","1988",63,15.83,1
"253","13","P","1988",70,15.92083,1
"254","13","P","1988",77,17.4417,1
"255","14","P","1988",14,0.139,1
"256","14","P","1988",21,0.389,1
"257","14","P","1988",28,1.094,1
"258","14","P","1988",35,2.13,1
"259","14","P","1988",42,4.04,1
"260","14","P","1988",49,7.62,1
"261","14","P","1988",56,12.48,1
"262","14","P","1988",63,17.93,1
"263","14","P","1988",70,14.4217,1
"264","14","P","1988",77,30.2717,1
"265","15","P","1988",14,0.145,1
"266","15","P","1988",21,0.366,1
"267","15","P","1988",28,0.799,1
"268","15","P","1988",35,1.61,1
"269","15","P","1988",42,3.51,1
"270","15","P","1988",49,6.79,1
"271","15","P","1988",56,9.95,1
"272","15","P","1988",63,14.54,1
"273","15","P","1988",70,19.28,1
"274","15","P","1988",77,22.57273,1
"275","16","P","1988",14,0.13,1
"276","16","P","1988",21,0.355,1
"277","16","P","1988",28,1.09,1
"278","16","P","1988",35,2.28,1
"279","16","P","1988",42,3.94,1
"280","16","P","1988",49,4.96,1
"281","16","P","1988",56,10.92,1
"282","16","P","1988",63,14.02,1
"283","16","P","1988",70,17.9942,1
"284","16","P","1988",77,22.3708,1
"285","25","P","1989",14,0.07,1
"286","25","P","1989",20,0.208,1
"287","25","P","1989",27,0.60083,1
"288","25","P","1989",34,1.90167,1
"289","25","P","1989",41,2.965,1
"290","25","P","1989",55,8.14333,1
"291","25","P","1989",69,15.7,1
"292","25","P","1989",84,19.8883,1
"293","26","P","1989",14,0.068,1
"294","26","P","1989",20,0.252,1
"295","26","P","1989",27,0.5805,1
"296","26","P","1989",34,2.014,1
"297","26","P","1989",41,2.67333,1
"298","26","P","1989",55,8.8,1
"299","26","P","1989",69,14.485,1
"300","26","P","1989",84,22.6433,1
"301","27","P","1989",14,0.077,1
"302","27","P","1989",20,0.224,1
"303","27","P","1989",27,0.34133,1
"304","27","P","1989",34,1.74,1
"305","27","P","1989",41,4.524,1
"306","27","P","1989",55,11.6567,1
"307","27","P","1989",69,20.3167,1
"308","27","P","1989",84,21.402,1
"309","28","P","1989",14,0.099,1
"310","28","P","1989",20,0.198,1
"311","28","P","1989",27,0.49117,1
"312","28","P","1989",34,1.205,1
"313","28","P","1989",41,2.8,1
"314","28","P","1989",55,7.36333,1
"315","28","P","1989",69,15.14167,1
"316","28","P","1989",84,17.18667,1
"317","29","P","1989",14,0.068,1
